timestamp,cycle,tick,pulse,drift
1762485192,815,7,0,0
1762485193,823,7,0,0
1762485194,831,7,0,0
1762485195,839,7,0,0
1762485196,847,7,0,0
1762485197,855,7,0,0
1762485198,863,7,0,0
1762485199,871,7,0,0
1762485200,879,7,0,0
1762485201,887,7,0,0
1762485202,895,7,0,0
1762485203,903,7,0,0
1762485204,911,7,0,0
1762485205,919,7,0,0
1762485206,927,7,0,0
1762485207,935,7,0,0
1762485208,943,7,0,0
1762485209,951,7,0,0
1762485210,959,7,0,0
1762485211,967,7,0,0
1762485212,975,7,0,0
1762485213,983,7,0,0
1762485214,991,7,0,0
1762485215,999,7,0,0
1762485217,1007,7,0,0
1762485218,1015,7,0,0
1762485219,1023,7,0,0
1762485220,1031,7,0,0
1762485221,1039,7,0,0
1762485222,1047,7,0,0
1762485223,1055,7,0,0
1762485224,1063,7,0,0
1762485225,1071,7,0,0
1762485226,1079,7,0,0
1762485227,1087,7,0,0
1762485228,1095,7,0,0
1762485229,1103,7,0,0
1762485230,1111,7,0,0
1762485231,1119,7,0,0
1762485232,1127,7,0,0
1762485233,1135,7,0,0
1762485234,1142,6,0,0
1762485235,1150,6,0,0
1762485236,1158,6,0,0
1762485237,1166,6,0,0
1762485238,1174,6,0,0
1762485239,1182,6,0,0
1762485240,1190,6,0,0
1762485241,1198,6,0,0
1762485242,1206,6,0,0
1762485243,1215,7,0,0
1762485244,1223,7,0,0
1762485245,1231,7,0,0
1762485246,1239,7,0,0
1762485247,1247,7,0,0
1762485248,1254,6,0,0
1762485249,1262,6,0,0
1762485250,1271,7,0,0
1762485251,1279,7,0,0
1762485253,1287,7,0,0
1762485254,1295,7,0,0
1762485255,1303,7,0,0
1762485256,1311,7,0,0
1762485257,1319,7,0,0
1762485258,1328,0,1,0
1762485259,1336,0,1,0
1762485260,1344,0,1,0
1762485261,1352,0,1,0
1762485262,1360,0,1,0
1762485263,1369,1,0,0
1762485264,1377,1,0,0
1762485265,1385,1,0,0
1762485266,1393,1,0,0
1762485267,1402,2,0,0
1762485268,1410,2,0,0
1762485270,1418,2,0,0
1762485271,1427,3,0,0
1762485272,1435,3,0,0
1762485273,1443,3,0,0
1762485274,1451,3,0,0
1762485275,1460,4,0,0
1762485276,1468,4,0,0
1762485277,1476,4,0,0
1762485278,1485,5,0,0
1762485279,1493,5,0,0
1762485280,1501,5,0,0
1762485281,1510,6,0,0
1762485283,1518,6,0,0
1762485284,1527,7,0,0
1762485285,1536,0,1,0
1762485286,1545,1,0,0
1762485287,1553,1,0,0
1762485288,1561,1,0,0
1762485289,1569,1,0,0
1762485290,1577,1,0,0
1762485291,1586,2,0,0
1762485292,1595,3,0,0
1762485293,1603,3,0,0
1762485295,1611,3,0,0
1762485296,1619,3,0,0
1762485297,1628,4,0,0
1762485298,1636,4,0,0
1762485299,1644,4,0,0
1762485300,1653,5,0,0
1762485301,1661,5,0,0
1762485302,1669,5,0,0
1762485303,1678,6,0,0
1762485304,1686,6,0,0
1762485305,1694,6,0,0
1762485306,1703,7,0,0
1762485308,1711,7,0,0
1762485309,1720,0,1,0
1762485310,1728,0,1,0
1762485311,1736,0,1,0
1762485312,1745,1,0,0
1762485313,1754,2,0,0
1762485314,1762,2,0,0
1762485315,1771,3,0,0
1762485316,1779,3,0,0
1762485317,1787,3,0,0
1762485318,1795,3,0,0
1762485320,1804,4,0,0
1762485321,1812,4,0,0
1762485322,1820,4,0,0
1762485323,1828,4,0,0
1762485324,1836,4,0,0
1762485325,1844,4,0,0
1762485326,1852,4,0,0
1762485327,1860,4,0,0
1762485328,1868,4,0,0
1762485329,1876,4,0,0
1762485330,1884,4,0,0
1762485331,1892,4,0,0
1762485332,1900,4,0,0
1762485333,1908,4,0,0
1762485334,1915,3,0,0
1762485335,1923,3,0,0
1762485336,1931,3,0,0
1762485337,1939,3,0,0
1762485338,1947,3,0,0
1762485339,1955,3,0,0
1762485340,1963,3,0,0
1762485341,1971,3,0,0
1762485342,1979,3,0,0
1762485343,1987,3,0,0
1762485344,1995,3,0,0
1762485345,2003,3,0,0
1762485346,2011,3,0,0
1762485347,2019,3,0,0
1762485348,2027,3,0,0
1762485349,2035,3,0,0
1762485350,2043,3,0,0
1762485351,2051,3,0,0
1762485352,2059,3,0,0
1762485353,2067,3,0,0
1762485354,2075,3,0,0
1762485355,2083,3,0,0
1762485357,2090,2,0,0
1762485358,2098,2,0,0
1762485359,2106,2,0,0
1762485360,2114,2,0,0
1762485361,2123,3,0,0
1762485362,2131,3,0,0
1762485363,2139,3,0,0
1762485364,2147,3,0,0
1762485365,2155,3,0,0
1762485366,2162,2,0,0
1762485367,2170,2,0,0
1762485368,2178,2,0,0
1762485369,2186,2,0,0
1762485370,2194,2,0,0
1762485371,2202,2,0,0
1762485372,2210,2,0,0
1762485373,2218,2,0,0
1762485374,2226,2,0,0
1762485375,2234,2,0,0
1762485376,2242,2,0,0
1762485377,2249,1,0,0
1762485378,2257,1,0,0
1762485379,2265,1,0,0
1762485380,2273,1,0,0
1762485381,2281,1,0,0
1762485382,2289,1,0,0
1762485383,2297,1,0,0
1762485384,2306,2,0,0
1762485385,2314,2,0,0
