timestamp,cycle,tick,pulse,drift
1762485088,14,6,0,0
1762485089,22,6,0,0
1762485090,30,6,0,0
1762485091,38,6,0,0
1762485092,45,5,0,0
1762485093,53,5,0,0
1762485094,61,5,0,0
1762485096,69,5,0,0
1762485097,77,5,0,0
1762485098,85,5,0,0
1762485099,93,5,0,0
1762485100,101,5,0,0
1762485101,109,5,0,0
1762485102,117,5,0,0
1762485103,125,5,0,0
1762485104,133,5,0,0
1762485105,140,4,0,0
1762485106,148,4,0,0
1762485107,156,4,0,0
1762485108,164,4,0,0
1762485109,172,4,0,0
1762485110,180,4,0,0
1762485111,188,4,0,0
1762485112,196,4,0,0
1762485113,204,4,0,0
1762485114,212,4,0,0
1762485115,220,4,0,0
1762485116,228,4,0,0
1762485117,236,4,0,0
1762485118,244,4,0,0
1762485119,252,4,0,0
1762485120,259,3,0,0
1762485121,267,3,0,0
1762485122,275,3,0,0
1762485123,283,3,0,0
1762485124,291,3,0,0
1762485125,299,3,0,0
1762485126,307,3,0,0
1762485127,315,3,0,0
1762485128,323,3,0,0
1762485129,331,3,0,0
1762485130,339,3,0,0
1762485131,347,3,0,0
1762485132,355,3,0,0
1762485133,362,2,0,0
1762485134,370,2,0,0
1762485135,378,2,0,0
1762485136,386,2,0,0
1762485137,394,2,0,0
1762485138,402,2,0,0
1762485140,410,2,0,0
1762485141,418,2,0,0
1762485142,426,2,0,0
1762485143,434,2,0,0
1762485144,442,2,0,0
1762485145,450,2,0,0
1762485146,458,2,0,0
1762485147,465,1,0,0
1762485148,474,2,0,0
1762485149,481,1,0,0
1762485150,489,1,0,0
1762485151,497,1,0,0
1762485152,505,1,0,0
1762485153,513,1,0,0
1762485154,521,1,0,0
1762485155,529,1,0,0
1762485156,537,1,0,0
1762485157,545,1,0,0
1762485158,553,1,0,0
1762485159,561,1,0,0
1762485160,568,0,1,0
1762485161,576,0,1,0
1762485162,584,0,1,0
1762485163,592,0,1,0
1762485164,600,0,1,0
1762485165,608,0,1,0
1762485166,616,0,1,0
1762485167,624,0,1,0
1762485168,632,0,1,0
1762485169,640,0,1,0
1762485170,648,0,1,0
1762485171,656,0,1,0
1762485172,664,0,1,0
1762485173,672,0,1,0
1762485174,679,7,0,0
1762485175,687,7,0,0
1762485176,695,7,0,0
1762485177,703,7,0,0
1762485178,711,7,0,0
1762485179,719,7,0,0
1762485180,727,7,0,0
1762485181,735,7,0,0
1762485183,743,7,0,0
1762485184,751,7,0,0
1762485185,759,7,0,0
1762485186,767,7,0,0
1762485187,775,7,0,0
1762485188,783,7,0,0
1762485189,791,7,0,0
1762485190,799,7,0,0
1762485191,807,7,0,0
